smiles,property,value
[*]CC([*])C,Eat,-5.14
[*]CC([*])F,Eat,-5.18
[*]CC([*])(F)F,Eat,-5.21
[*]C(F)C([*])(F)F,Eat,-5.11
[*]CCC(F)(F)C([*])(F)F,Eat,-5.21
[*]CO[*],Eat,-5.32
[*]CCO[*],Eat,-5.21
[*]CC(O[*])C(F)(F)F,Eat,-5.24
[*]CCCO[*],Eat,-5.2
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,Eat,-6.18
[*]CCCCCOCO[*],Eat,-5.2
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],Eat,-5.52
[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,Eat,-6.82
[*]CCCCCS[*],Eat,-5.03
[*]CCOC(=O)CCCCC(=O)O[*],Eat,-5.59
[*]CCOC(=O)CCCCCCC(=O)O[*],Eat,-5.5
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,Eat,-6.18
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,Eat,-5.97
[*]CC(=O)O[*],Eat,-6
[*]CCCCCC(=O)O[*],Eat,-5.44
[*]CCC(=O)O[*],Eat,-5.73
[*]Oc1ccc(CC([*])=O)cc1,Eat,-6.21
[*]Cc1ccc(C(=O)O[*])cc1,Eat,-6.22
[*]CCC(=O)N[*],Eat,-5.69
[*]CCCCCCC(=O)N[*],Eat,-5.39
[*]CC(=O)N[*],Eat,-5.91
[*]Nc1cccc(C([*])=O)c1,Eat,-6.41
[*]Cc1ccc(C(=O)N[*])cc1,Eat,-6.17
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Eat,-5.79
[*]CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,Eat,-6.25
[*]OC(=O)c1ccc(C([*])=O)cc1,Eat,-6.57
[*]CCCCCOC(=O)O[*],Eat,-5.46
[*]Oc1ccc(OC([*])=O)cc1,Eat,-6.41
[*]CCCN[*],Eat,-5.18
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,Eat,-6.4
[*]c1ccc([*])cc1,Eat,-6.39
[*]CCc1ccc(-c2ccc([*])cc2)cc1,Eat,-6.09
[*]OC1C(CO)OC([*])C(O)C1O,Eat,-5.48
[*]Cc1ccc(CO[*])cc1,Eat,-5.89
[*]CCOCCOC(=O)O[*],Eat,-5.52
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,Eat,-5.18
[*]c1ccc([*])s1,Eat,-6.18
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,Eat,-6.44
[*]Nc1ccc([*])cc1,Eat,-6.21
[*]c1cccc([*])n1,Eat,-6.6
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],Eat,-5.9
[*]C(S1)=CC=C1C(S2)=CC=C2[*],Eat,-6.18
[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],Eat,-6.81
[*]CC(C=C1)=CC=C1C[*],Eat,-5.84
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],Eat,-5.41
[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],Eat,-5.99
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],Eat,-6.13
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.12
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eat,-6.07
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eat,-6.04
[*]C(S1)=CC=C1C(=S)OC(=S)[*],Eat,-5.95
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],Eat,-6.02
[*]C(S1)=CC=C1OC(=S)O[*],Eat,-5.94
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Eat,-6.24
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.21
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eat,-6.28
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eat,-6.27
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],Eat,-6.29
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],Eat,-6.22
